,facility_code,facility_type,facility_name,open_pending,nice_name,latitude,longitude,type,securityType,addr1,addr2,city,state,zip,pop_total,lat_adj,long_adj
145,PEM,T,PETERSBURG MED FCI,O,Petersburg Med FCI,37.29818430631364,-77.34108924865723,,,1060 RIVER ROAD,,HOPEWELL,VA,23860,1566.0,37.29818430631364,-77.34308924865722
146,PHL,T,PHILADELPHIA FDC,O,Philadelphia FDC,39.95254156143854,-75.15206336975098,FDC,Administrative,700 ARCH STREET,,PHILADELPHIA,PA,19106,895.0,39.95254156143854,-75.15206336975098
147,PHX,T,PHOENIX FCI,O,Phoenix FCI,33.8338130100535,-112.16604351997375,FCI,Medium,37900 N 45TH AVE,,PHOENIX,AZ,85086,1217.0,33.8338130100535,-112.16604351997375
148,POM,T,POLLOCK MED FCI,O,Pollock Med FCI,31.46112273709915,-92.44635298848152,,,1000 AIRBASE ROAD,,POLLOCK,LA,71467,1708.0,31.46112273709915,-92.44635298848152
149,POL,T,POLLOCK USP,O,Pollock USP,31.46112044918768,-92.44189381599426,,,1000 AIRBASE ROAD,,POLLOCK,LA,71467,1095.0,31.46112044918768,-92.44189381599426
150,RBK,T,RAY BROOK FCI,O,Ray Brook FCI,44.29396385164661,-74.09729540348053,FCI,Medium,128 RAY BROOK ROAD,,RAY BROOK,NY,12977,860.0,44.29396385164661,-74.09729540348053
151,REE,T,REEVES CI,O,Reeves CI,,,,,,,,,,,,
152,RVS,T,REEVES DC,O,Reeves DC,,,,,,,,,,,,
153,RIV,T,RIVERS CI,O,Rivers CI,,,,,,,,,,,,
154,RCH,T,ROCHESTER FMC,O,Rochester FMC,44.02235399723002,-92.43875026702881,FMC,Administrative,2110 EAST CENTER STREET,,ROCHESTER,MN,55904,792.0,44.02235399723002,-92.43875026702881
155,SAF,T,SAFFORD FCI,O,Safford FCI,32.7172639931445,-109.72694993019104,FCI,Low,1529 WEST HIGHWAY 366,,SAFFORD,AZ,85546,665.0,32.7172639931445,-109.72694993019104
156,SDC,T,SAN DIEGO MCC,O,San Diego MCC,32.713711922121874,-117.16561675071716,MCC,Administrative,808 UNION STREET,,SAN DIEGO,CA,92101,760.0,32.713711922121874,-117.16561675071716
157,SST,T,SANDSTONE FCI,O,Sandstone FCI,46.11080500419979,-92.85080194473267,FCI,Low,2300 COUNTY RD 29,,SANDSTONE,MN,55072,1174.0,46.11080500419979,-92.85080194473267
158,SCH,T,SCHUYLKILL FCI,O,Schuylkill FCI,40.720412475732395,-76.35017931461334,FCI,Medium,INTERSTATE 81 & 901 W,,MINERSVILLE,PA,17954,1195.0,40.720412475732395,-76.35017931461334
159,SEA,T,SEAGOVILLE FCI,O,Seagoville FCI,32.65720731538505,-96.56396627426147,FCI,Low,2113 NORTH HWY 175,,SEAGOVILLE,TX,75159,1742.0,32.65720731538505,-96.56396627426147
160,SET,T,SEATAC FDC,O,Seatac FDC,47.422708646659736,-122.30184316635132,FDC,Administrative,2425 SOUTH 200TH STREET,,SEATTLE,WA,98198,619.0,47.422708646659736,-122.30184316635132
161,SHE,T,SHERIDAN FCI,O,Sheridan FCI,45.0840436625543,-123.39583039283752,FCI,Medium,27072 BALLSTON ROAD,,SHERIDAN,OR,97378,1552.0,45.0840436625543,-123.39583039283752
162,SPG,T,SPRINGFIELD USMCFP,O,Springfield USMCFP,37.177577690810566,-93.32125067710876,MCFP,Administrative,1900 W. SUNSHINE ST,,SPRINGFIELD,MO,65807,1096.0,37.177577690810566,-93.32125067710876
163,TAF,T,TAFT CI,O,Taft CI,,,,,,,,,,,,
164,TDG,T,TALLADEGA FCI,O,Talladega FCI,33.42497652085813,-86.14289224147797,FCI,Medium,565 EAST RENFROE ROAD,,TALLADEGA,AL,35160,1231.0,33.42497652085813,-86.14289224147797
165,TAL,T,TALLAHASSEE FCI,O,Tallahassee FCI,30.440196462640507,-84.2227578163147,FCI,Low,"501 CAPITAL CIRCLE, NE",,TALLAHASSEE,FL,32301,1148.0,30.440196462640507,-84.2227578163147
166,TRM,T,TERMINAL ISLAND FCI,O,Terminal Island FCI,33.72717724642843,-118.26813876628876,FCI,Low,1299 SEASIDE AVENUE,,SAN PEDRO,CA,90731,920.0,33.72717724642843,-118.26813876628876
167,THA,T,TERRE HAUTE FCI,O,Terre Haute FCI,39.41426418872239,-87.45132207870483,,,4200 BUREAU ROAD NORTH,,TERRE HAUTE,IN,47808,1467.0,39.41426418872239,-87.45132207870483
168,THP,T,TERRE HAUTE USP,O,Terre Haute USP,39.40987096713173,-87.45582818984985,,,4700 BUREAU ROAD SOUTH,,TERRE HAUTE,IN,47802,1363.0,39.40987096713173,-87.45582818984985
169,TEX,T,TEXARKANA FCI,O,Texarkana FCI,33.37551640898179,-94.09211754798889,FCI,Low,4001 LEOPARD DRIVE,,TEXARKANA,TX,75501,1341.0,33.37551640898179,-94.09211754798889
